"DUI Arrests by Month"
"Current date: 4/13/2021 4:31:25 PM (Mountain Daylight Time)"
"Multiple Arrest Indicator: All Countable Arrests"
"Arrest Offense for A and B Arrests: Driving Under the Influence"
"Arrest Date","Arrest Month","Jurisdiction by Geography","Number of Arrestees",
"Total","May","Routt County","42"
"Total","May","Saguache County","2"
"Total","May","San Juan County",""
"Total","May","San Miguel County","30"
"Total","May","Sedgwick County",""
"Total","May","Summit County","113"
"Total","May","Teller County","94"
"Total","May","Washington County","8"
"Total","May","Weld County","628"
"Total","May","Yuma County","9"
"Total","May","Broomfield County","98"
"Total","May","Colorado Bureau of Investigation",""
"Total","May","Colorado State Patrol","2,860"
"Total","June","Total","12,157"
"Total","June","Adams County","1,838"
"Total","June","Alamosa County","24"
"Total","June","Arapahoe County","421"
"Total","June","Archuleta County","23"
"Total","June","Baca County","8"
"Total","June","Bent County","3"
"Total","June","Boulder County","426"
"Total","June","Chaffee County","76"
"Total","June","Cheyenne County","3"
"Total","June","Clear Creek County","38"
"Total","June","Conejos County",""
"Total","June","Costilla County","2"
"Total","June","Crowley County","10"
"Total","June","Custer County","14"
"Total","June","Delta County","32"
"Total","June","Denver County","812"
"Total","June","Dolores County","5"
"Total","June","Douglas County","385"
"Total","June","Eagle County","152"
"Total","June","Elbert County","26"
"Total","June","El Paso County","1,142"
"Total","June","Fremont County","59"
"Total","June","Garfield County","222"
"Total","June","Gilpin County","59"
"Total","June","Grand County","41"
"Total","June","Gunnison County","73"
"Total","June","Hinsdale County","2"
"Total","June","Huerfano County","4"
"Total","June","Jackson County","1"
"Total","June","Jefferson County","806"
"Total","June","Kiowa County",""
"Total","June","Kit Carson County","14"
"Total","June","Lake County","27"
"Total","June","La Plata County","152"
"Total","June","Larimer County","841"
"Total","June","Las Animas County","14"
"Total","June","Lincoln County","11"
"Total","June","Logan County","42"
"Total","June","Mesa County","293"
"Total","June","Mineral County","1"
"Total","June","Moffat County","31"
"Total","June","Montezuma County","65"
"Total","June","Montrose County","72"
"Total","June","Morgan County","24"
"Total","June","Otero County","24"
"Total","June","Ouray County","3"
"Total","June","Park County","36"
"Total","June","Phillips County","11"
"Total","June","Pitkin County","59"
"Total","June","Prowers County","24"
"Total","June","Pueblo County","138"
"Total","June","Rio Blanco County","22"
"Total","June","Rio Grande County","24"
"Total","June","Routt County","63"
"Total","June","Saguache County","6"
"Total","June","San Juan County","3"
"Total","June","San Miguel County","32"
"Total","June","Sedgwick County",""
"Total","June","Summit County","122"
"Total","June","Teller County","93"
"Total","June","Washington County","3"
"Total","June","Weld County","611"
"Total","June","Yuma County","8"
"Total","June","Broomfield County","73"
"Total","June","Colorado Bureau of Investigation",""
"Total","June","Colorado State Patrol","2,508"
"Total","July","Total","12,471"
"Total","July","Adams County","1,813"
"Total","July","Alamosa County","24"
"Total","July","Arapahoe County","406"
"Total","July","Archuleta County","25"
"Total","July","Baca County","6"
"Total","July","Bent County","8"
"Total","July","Boulder County","448"
"Total","July","Chaffee County","66"
"Total","July","Cheyenne County","9"
"Total","July","Clear Creek County","20"
"Total","July","Conejos County",""
"Total","July","Costilla County","2"
"Total","July","Crowley County","8"
"Total","July","Custer County","19"
"Total","July","Delta County","36"
"Total","July","Denver County","867"
"Total","July","Dolores County","2"
"Total","July","Douglas County","340"
"Total","July","Eagle County","177"
"Total","July","Elbert County","38"
"Total","July","El Paso County","1,255"
"Total","July","Fremont County","59"
"Total","July","Garfield County","224"
"Total","July","Gilpin County","65"
"Total","July","Grand County","56"
"Total","July","Gunnison County","78"
"Total","July","Hinsdale County","2"
"Total","July","Huerfano County","4"
"Total","July","Jackson County","4"
"Total","July","Jefferson County","856"
"Total","July","Kiowa County","1"
"Total","July","Kit Carson County","22"
"Total","July","Lake County","17"
"Total","July","La Plata County","122"
"Total","July","Larimer County","848"
"Total","July","Las Animas County","15"
"Total","July","Lincoln County","9"
"Total","July","Logan County","48"
"Total","July","Mesa County","262"
"Total","July","Mineral County",""
"Total","July","Moffat County","26"
"Total","July","Montezuma County","55"
"Total","July","Montrose County","66"
"Total","July","Morgan County","30"
"Total","July","Otero County","17"
"Total","July","Ouray County","1"
"Total","July","Park County","29"
"Total","July","Phillips County","8"
"Total","July","Pitkin County","65"
"Total","July","Prowers County","31"
"Total","July","Pueblo County","155"
"Total","July","Rio Blanco County","21"
"Total","July","Rio Grande County","27"
"Total","July","Routt County","58"
"Total","July","Saguache County","4"
